"StartDate","EndDate","Date","TaxonVersionKey","TaxonName","Projection","Precision","SiteName","Recorder","ZeroAbundance","UnderValidation","Sampling.method","County","Abundance_Simplified","Type","lon","lat"
2013-09-02,2013-09-02,2013-09-02,"NBNSYS0000005133","Lutra lutra","OSI",100,"castlegrace bridge near clogheen","Patrick Smiddy","False","False","Spraint collected","Tipperary","Unknown","Mammal",-7.95311016987781,52.2803955779403
2017-03-20,2017-03-20,2017-03-20,"NBNSYS0000005133","Lutra lutra","OSI",100,"castlemore bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.81127387010303,51.8534269894006
2015-09-27,2015-09-27,2015-09-27,"NHMSYS0020774297","Neovison vison","OSI",100,"colthurst bridge","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.98080233555449,52.1073781814271
2017-01-05,2017-01-05,2017-01-05,"NBNSYS0000005133","Lutra lutra","OSI",100,"commoge near kinsale","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.53659013563101,51.6986174852474
2015-09-10,2015-09-10,2015-09-10,"NBNSYS0000005133","Lutra lutra","OSI",100,"cullane middle near glenroe","Patrick Smiddy","False","False","Spraint collected","Limerick","Unknown","Mammal",-8.36087430357203,52.3346732266426
2015-08-18,2015-08-18,2015-08-18,"NBNSYS0000005133","Lutra lutra","OSI",100,"cullen bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.11954336093505,52.1106364561288
2016-06-17,2016-06-17,2016-06-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"droghedaneirk bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.36199352203614,51.9311587097558
2016-07-08,2016-07-08,2016-07-08,"NBNSYS0000005133","Lutra lutra","OSI",100,"dromcarra","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.02327286807915,51.8580659716946
2022-02-27,2022-02-27,2022-02-27,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"kilmeaney listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.37802113001531,52.4449220607952
2023-12-26,2023-12-26,2023-12-26,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"carhooearagh listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.40180104957484,52.4527309792901
2023-03-26,2023-03-26,2023-03-26,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"inchmoor listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.55206432409777,52.4589433069361
2023-04-01,2023-04-01,2023-04-01,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"clounprohus listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.41615914547715,52.4876093736991
2021-05-29,2021-05-29,2021-05-29,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"drombeg listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.47787534711051,52.4841585530505
2020-11-22,2020-11-22,2020-11-22,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"knockane listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.46868757895548,52.4734884673026
2020-12-30,2020-12-30,2020-12-30,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"dromin upper listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.46370803385631,52.4564747165762
2020-07-05,2020-07-05,2020-07-05,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"dromin upper listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.45785549814588,52.4574456957115
2020-04-05,2020-04-05,2020-04-05,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"dromin listowel","Paddy Halpin","False","False","Unknown","Kerry","Low","Mammal",-9.46535750002874,52.4618465520192
2016-02-19,2016-02-19,2016-02-19,"NBNSYS0000005133","Lutra lutra","OSI",100,"cullen co cork","Paddy Sleeman","False","False","Spraints","Cork","Low","Mammal",-9.11527740307618,52.1151705164467
2016-01-14,2016-01-14,2016-01-14,"NHMSYS0000080219","Oryctolagus cuniculus","OSI",100,"botherbui","Paddy Sleeman","False","False","Sighting of live animal","Cork","Low","Mammal",-9.04881433040553,52.1445393214114
2016-01-06,2016-01-06,2016-01-06,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"kiskeim","Paddy Sleeman","False","False","Road Kill","Cork","Low","Mammal",-9.17677192033269,52.1774839921605
2016-08-25,2016-08-25,2016-08-25,"NBNSYS0000042516","Lepus timidus subsp. hibernicus","OSI",100,"coleman farm great island","Paddy Sleeman","False","False","Sighting of live animal","Cork","Low","Mammal",-8.24247948382427,51.8748456991825
2016-09-05,2016-09-05,2016-09-05,"NHMSYS0000080188","Vulpes vulpes","OSI",100,"great island","Paddy Sleeman","False","False","Found dead (Not road kill)","Cork","Low","Mammal",-8.21781780276794,51.8793874761619
2017-04-09,2017-04-09,2017-04-09,"NBNSYS0000005133","Lutra lutra","OSI",100,"coomnaclohy","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.1699676292576,51.9735380369316
2015-08-18,2015-08-18,2015-08-18,"NHMSYS0020774297","Neovison vison","OSI",100,"doctors hill bridge","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-9.25065161081639,52.2054834226854
2013-09-01,2013-09-01,2013-09-01,"NBNSYS0000005133","Lutra lutra","OSI",100,"doneraile","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.58087443947862,52.2187669674665
2015-09-05,2015-09-05,2015-09-05,"NBNSYS0000005133","Lutra lutra","OSI",100,"father murphys bridge near banteer","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.88893594748202,52.1117011624511
2015-06-05,2015-06-05,2015-06-05,"NBNSYS0000005133","Lutra lutra","OSI",100,"finisk bridge near cappoquin","Patrick Smiddy","False","False","Spraint collected","Waterford","Unknown","Mammal",-7.76347899436976,52.1220005217515
2015-06-24,2015-06-24,2015-06-24,"NBNSYS0000005133","Lutra lutra","OSI",100,"garrycaheragh bridge near ballynoe","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.12536643259922,52.0538717279285
2013-09-02,2013-09-02,2013-09-02,"NHMSYS0020774297","Neovison vison","OSI",100,"garrymore bridge near clogheen","Patrick Smiddy","False","False","Scat collected","Tipperary","Unknown","Mammal",-8.02198024261117,52.292984315638
2015-06-22,2015-06-22,2015-06-22,"NBNSYS0000005133","Lutra lutra","OSI",100,"glendine bridge","Patrick Smiddy","False","False","Spraint collected","Waterford","Unknown","Mammal",-7.89662979113519,51.996375452294
2016-02-25,2016-02-25,2016-02-25,"NBNSYS0000005133","Lutra lutra","OSI",100,"glenfield south near liscarroll","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.82178959251405,52.2703588819095
2015-09-10,2015-09-10,2015-09-10,"NBNSYS0000005133","Lutra lutra","OSI",100,"graigue cross near ardpatrick","Patrick Smiddy","False","False","Spraint collected","Limerick","Unknown","Mammal",-8.55310864641676,52.3393223171863
2015-05-27,2015-05-27,2015-05-27,"NBNSYS0000005133","Lutra lutra","OSI",100,"grallagh bridge near clashmore","Patrick Smiddy","False","False","Spraint collected","Waterford","Unknown","Mammal",-7.75680084205368,52.0078524668763
2015-09-09,2015-09-09,2015-09-09,"NHMSYS0020774297","Neovison vison","OSI",100,"island bridge","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.57454038545947,52.0678174427768
2015-09-02,2015-09-02,2015-09-02,"NBNSYS0000005133","Lutra lutra","OSI",100,"johns bridge near newmarket","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.88703740781892,52.2366353409376
2015-09-27,2015-09-27,2015-09-27,"NBNSYS0000005133","Lutra lutra","OSI",100,"keale bridge near millstreet","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.03002470858092,52.0898828201258
2015-08-17,2015-08-17,2015-08-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"kilgobban","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.72450436747611,52.1433815187163
2015-09-29,2015-09-29,2015-09-29,"NHMSYS0020774297","Neovison vison","OSI",100,"killavullen","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.51277591145051,52.1498835031135
2015-09-02,2015-09-02,2015-09-02,"NHMSYS0020774297","Neovison vison","OSI",100,"knockduff lower","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-9.03943253721609,52.2434805788852
2015-09-06,2015-09-06,2015-09-06,"NHMSYS0020774297","Neovison vison","OSI",100,"lacka bridge","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.83724806234973,52.079725679664
2015-09-02,2015-09-02,2015-09-02,"NBNSYS0000005133","Lutra lutra","OSI",100,"long bridge near newmarket","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.02652083450439,52.1914685293714
