RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Type of sighting	County	Vice-county	Habitat description	Abundance	Record comment	Life stage	Survey name
24894664796539376			31/12/2016	31/12/2016	D	31/12/2016	NHMSYS0000080172	Crocidura russula	S637795	263750	179550	OSI	100		Tolerton	David Shirley		False	False		Found dead (Not road kill)	Laois	Laois (Queen's County)		1	Found drowned in plastic basin		
98363975745409660			07/09/2018	07/09/2018	D	07/09/2018	NBNSYS0000042516	Lepus timidus subsp. hibernicus	H564423	256450	342350	OSI	100		Rock Bridge, Bragan	Declan Coney		False	False		Sighting of live animal	Monaghan			2			
84bb7738-ae42-11e7-a494-00155d018200			31/01/2017	31/01/2017	D	31/01/2017	NHMSYS0000080190	Martes martes	H5439	254500	339500	OSI	1000		Knockatallon	Declan Coney		False	False		Sighting of live animal	Monaghan			1			
100933599381949090			15/03/2020	15/03/2020	D	15/03/2020	NBNSYS0000005133	Lutra lutra		-8.4739899900	51.9116912400	WGS84	100		Blackpool	Chris Moody		False	False		Sighting of live animal	Cork						
100933599381949091			17/09/2020	17/09/2020	D	17/09/2020	NBNSYS0000005133	Lutra lutra		-8.4825896800	51.8968868500	WGS84	100		Cork City	Chris Moody		False	False			Cork			2			
100933599381949105			13/01/2022	13/01/2022	D	13/01/2022	NBNSYS0000005133	Lutra lutra		-8.4744327600	51.9181142700	WGS84	100		Sunbeam	Chris Moody		False	False		Tracks or signs	Cork			1			
100933599381949108			13/01/2022	13/01/2022	D	13/01/2022	NBNSYS0000005133	Lutra lutra		-8.4756091600	51.9186530000	WGS84	100		Sunbeam	Chris Moody		False	False		Tracks or signs	Cork			1			
100933599381949109			14/01/2022	14/01/2022	D	14/01/2022	NBNSYS0000005133	Lutra lutra		-8.4739941400	51.9116813100	WGS84	100		Blackpool	Chris Moody		False	False			Cork						
100933599381949122			14/01/2022	14/01/2022	D	14/01/2022	NBNSYS0000005133	Lutra lutra		-8.4752547700	51.9183587300	WGS84	100		Blackpool	Chris Moody		False	False			Cork						
100933599381949123			14/01/2022	14/01/2022	D	14/01/2022	NBNSYS0000005133	Lutra lutra		-8.4754264400	51.9183852000	WGS84	100		Blackpool	Chris Moody		False	False			Cork						
100933599381949140			30/03/2022	30/03/2022	D	30/03/2022	NBNSYS0000005133	Lutra lutra		-8.4730929100	51.9152517700	WGS84	100		Culvert under Brothers Delaney Road, Blackpool	Chris Moody		False	False			Cork						
100933599381949141			30/03/2022	30/03/2022	D	30/03/2022	NBNSYS0000005133	Lutra lutra		-8.4730660900	51.9153874300	WGS84	100		North of North, Mammal ledge in Brothers Delaney Rd, Blackpool	Chris Moody		False	False			Cork						
100933599381949155			01/04/2022	01/04/2022	D	01/04/2022	NBNSYS0000005133	Lutra lutra		-8.4834440600	51.9204115300	WGS84	100		Concrete Slab in river	Chris Moody		False	False		Tracks or signs	Cork			1			
100933599381949158			12/06/2022	12/06/2022	D	12/06/2022	NBNSYS0000005133	Lutra lutra		-8.4735751900	51.9111885500	WGS84	100		Blackpool Village. Culvert	Chris Moody		False	False		Tracks or signs	Cork			1			
100933599381949159			12/06/2022	12/06/2022	D	12/06/2022	NBNSYS0000005133	Lutra lutra		-8.4735797300	51.9112006700	WGS84	100		Manmade structure. Blackpool Village	Chris Moody		False	False		Tracks or signs	Cork			1			
100933599381949172			27/07/2022	27/07/2022	D	27/07/2022	NBNSYS0000005133	Lutra lutra		-8.4743213700	51.9133821900	WGS84	100		River Bride, Blackpool	Chris Moody		False	False		Sighting of live animal	Cork						
100933599381949173			01/08/2022	01/08/2022	D	01/08/2022	NBNSYS0000005133	Lutra lutra		-8.4842777300	51.8987140800	WGS84	100		Cork City	Chris Moody		False	False		Sighting of live animal	Cork			1			
100933599381949190			26/09/2022	26/09/2022	D	26/09/2022	NBNSYS0000005133	Lutra lutra		-8.4905648200	51.8981116300	WGS84	100		River Lee, Cork City	Chris Moody		False	False		Sighting of live animal	Cork			1			
100933599381949191			08/10/2022	08/10/2022	D	08/10/2022	NBNSYS0000005133	Lutra lutra		-8.4740495400	51.9117471100	WGS84	100		Grassy ledge upstream Blackpool Bridge Culvert	Chris Moody		False	False		Tracks or signs	Cork			1			
100933599381949208			07/05/2023	07/05/2023	D	07/05/2023	NBNSYS0000005133	Lutra lutra		-8.5187923900	51.8940597900	WGS84	100		Cork City	Chris Moody		False	False		Road Kill	Cork						
100933599381949209			19/02/2023	19/02/2023	D	19/02/2023	NBNSYS0000005133	Lutra lutra		-8.4916377100	51.9242544200	WGS84	100		Rathpeacon Stream/River Bride	Chris Moody		False	False		Sighting of live animal	Cork			2			
100708897597164774			16/02/2020	16/02/2020	D	16/02/2020	NBNSYS0000042516	Lepus timidus subsp. hibernicus	T011912	301150	191250	OSI	100		Slievemaan	Christian Osthoff		False	False			Wicklow			1			
98363975745410900			19/12/2018	19/12/2018	D	19/12/2018	NHMSYS0000080212	Rattus norvegicus		-6.2893264000	52.9715910000	WGS84	100		Laragh	Ciara Naughton		False	False		Cat prey	Wicklow						
100020104112129766			06/10/2022	06/10/2022	D	06/10/2022	NBNSYS0000005108	Sciurus vulgaris		-8.6400872500	52.6643349000	WGS84	100		Limerick City	Ciaran Barry		False	False			Limerick			1			
24716265360744853			25/05/2016	25/05/2016	D	25/05/2016	NBNSYS0000005082	Sorex minutus		-9.5389400000	52.4270900000	WGS84	100		Finuge	Ciarán McKenna		False	False		Found dead (not road kill)	Kerry			1			
24870567161107578			08/03/2016	08/03/2016	D	08/03/2016	NBNSYS0000042516	Lepus timidus subsp. hibernicus	D021420	302150	442050	OSI	100		Craigalappin	Clare Dore		False	False		Sighting of live animal	Antrim	Antrim		1			
24870567161107579			18/03/2016	18/03/2016	D	18/03/2016	NBNSYS0000042516	Lepus timidus subsp. hibernicus	D021420	302150	442050	OSI	100		Craigalappin	Clare Dore		False	False		Sighting of live animal	Antrim	Antrim		1			
99679645628151736			22/05/2020	22/05/2020	D	22/05/2020	NHMSYS0000080190	Martes martes	Q809320	80950	132050	OSI	100		Feans	Colin O'Connor		False	False			Kerry			1			
24870567161107593			22/09/2016	22/09/2016	D	22/09/2016	NBNSYS0000005133	Lutra lutra	O158325	315850	232550	OSI	100		Portobello, Dublin 8	Conor Mahon		False	False		Sighting of live animal	Dublin	Dublin		1			
596759d6-3172-11e7-8717-00155d018201			08/03/2017	08/03/2017	D	08/03/2017	NBNSYS0000042516	Lepus timidus subsp. hibernicus	L757607	75750	260750	OSI	100		Altnagaighera, Lettergesh	Conor Ryan		False	False		Sighting of live animal	Galway	West Galway		1			
59675ccb-3172-11e7-8717-00155d018201			09/03/2017	09/03/2017	D	09/03/2017	NHMSYS0020774297	Neovison vison	L693387	69350	238750	OSI	100		Dog's Bay	Conor Ryan		False	False		Sighting of live animal	Galway	West Galway		1			
99679645628151134			23/12/2021	23/12/2021	D	23/12/2021	NHMSYS0000080190	Martes martes		-8.3614397000	51.8925555700	WGS84	100		Wallingstown, Little Island	Damien Fitzpatrick		False	False		Sighting of live animal	Cork			1			
100708897597164625			22/05/2020	22/05/2020	D	22/05/2020	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R725470	172550	147050	OSI	100		Dromkeen South	Damien O'Dwyer		False	False			Limerick			1			
100708897597165476			10/05/2021	10/05/2021	D	10/05/2021	NBNSYS0000042516	Lepus timidus subsp. hibernicus	N183192	218350	219250	OSI	100		Boora	Daniel Singer		False	False			Offaly			1			
99679645628151753			06/06/2020	06/06/2020	D	06/06/2020	NHMSYS0000080190	Martes martes		-9.5078328300	52.0117879600	WGS84	100		Killarney National Park	Darragh Carroll		False	False			Kerry			1			
98363975745410061			06/03/2018	06/03/2018	D	06/03/2018	NHMSYS0000080190	Martes martes	H663334	266350	333450	OSI	100		Monaghan Town	Declan Coney		False	False		Sighting of live animal	Monaghan			1			
100933599381949089			06/11/2019	06/11/2019	D	06/11/2019	NBNSYS0000005133	Lutra lutra	W674736	167450	73650	OSI	100		Cork City	Chris Moody		False	False		Sighting of live animal	Cork						
100933599381949092			20/09/2020	20/09/2020	D	20/09/2020	NBNSYS0000005133	Lutra lutra		-8.4688700000	51.8958076900	WGS84	100		Cork City	Chris Moody		False	False		Sighting of live animal	Cork			1			
100933599381949106			13/01/2022	13/01/2022	D	13/01/2022	NBNSYS0000005133	Lutra lutra		-8.4743656200	51.9178898700	WGS84	100		Sunbeam	Chris Moody		False	False		Tracks or signs	Cork			1			
